match type,Day,Date,Time,Home,xg_home,Score,xg_away,Away,Attendance,Venue,Referee,Match Report,Match URL,Match ID
Regular Season,Mon,5/27/19,16:00 (19:00),Reign,0.9,2–1,1.5,Courage,"3,032",Cheney Stadium,Robinson Khongsai,Match Report,https://fbref.com/en/matches/622f898e/Reign-FC-North-Carolina-Courage-May-27-2019-NWSL,622f898e
Regular Season,Sat,6/1/19,19:00,Spirit,0.9,2–0,0.6,Royals,"4,575",Maureen Hendricks Field Maryland SoccerP...,Guido Gonzalez Jr.,Match Report,https://fbref.com/en/matches/f8c8aea4/Washington-Spirit-Utah-Royals-FC-June-1-2019-NWSL,f8c8aea4
Regular Season,Sat,6/1/19,19:30,Pride,0.9,0–3,1.4,Courage,"4,427",Orlando City Stadium,Eric Tattersall,Match Report,https://fbref.com/en/matches/6420bec8/Orlando-Pride-North-Carolina-Courage-June-1-2019-NWSL,6420bec8
Regular Season,Sun,6/2/19,13:00 (16:00),Reign,1.8,1–1,1.4,Dash,"3,063",Cheney Stadium,Tori Penso,Match Report,https://fbref.com/en/matches/610a4c17/Reign-FC-Houston-Dash-June-2-2019-NWSL,610a4c17
Regular Season,Sun,6/2/19,15:00 (18:00),Thorns,3.1,3–0,1.6,Red Stars,"19,461",Providence Park,Victor Rivas,Match Report,https://fbref.com/en/matches/1cef5979/Portland-Thorns-FC-Chicago-Red-Stars-June-2-2019-NWSL,1cef5979
Regular Season,Sat,6/15/19,19:45,Courage,1.3,1–1,0.5,Thorns,"6,172",Sahlen's Stadium at WakeMed Soccer Park,Tori Penso,Match Report,https://fbref.com/en/matches/888d23a0/North-Carolina-Courage-Portland-Thorns-FC-June-15-2019-NWSL,888d23a0
Regular Season,Sat,6/15/19,19:00 (22:00),Reign,2.2,1–1,0.8,Spirit,"3,572",Cheney Stadium,Natalie Simon,Match Report,https://fbref.com/en/matches/bde3da3d/Reign-FC-Washington-Spirit-June-15-2019-NWSL,bde3da3d
Regular Season,Sat,6/15/19,19:30 (20:30),Dash,2.5,2–2,1.1,Pride,"3,776",BBVA Stadium,Samantha Martinez,Match Report,https://fbref.com/en/matches/f7b69a29/Houston-Dash-Orlando-Pride-June-15-2019-NWSL,f7b69a29
Regular Season,Sat,6/15/19,20:00 (22:00),Royals,1.6,1–0,1.6,Sky Blue FC,"5,777",Rio Tinto Stadium,Robinson Khongsai,Match Report,https://fbref.com/en/matches/6f3dc675/Utah-Royals-FC-Sky-Blue-FC-June-15-2019-NWSL,6f3dc675
Regular Season,Sat,6/22/19,19:00,Spirit,1.4,0–0,0.2,Dash,"2,367",Maureen Hendricks Field Maryland SoccerP...,Lorant Varga,Match Report,https://fbref.com/en/matches/1e61252e/Washington-Spirit-Houston-Dash-June-22-2019-NWSL,1e61252e
